name,method,correct_ratio,correct_seed,lr,epochs,optimizer,mask_stage,correct_accuracy,wrong_accuracy,forgetting_rate
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr2e-6-ep3-optadamw-masknone,sft,100.0,0,0.000002,3,adamw,none,0.4084158415841584,0.9884393063583816,0.5915841584158417
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr2e-6-ep2-optsgd-masknone,sft,100.0,0,0.000002,2,sgd,none,0.30445544554455445,0.6791907514450867,0.6955445544554455
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr2e-6-ep2-optadamw-masknone,sft,100.0,0,0.000002,2,adamw,none,0.3465346534653465,0.9710982658959536,0.6534653465346535
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr2e-6-ep1-optsgd-masknone,sft,100.0,0,0.000002,1,sgd,none,0.2896039603960396,0.6011560693641619,0.7103960396039604
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr2e-6-ep1-optadamw-masknone,sft,100.0,0,0.000002,1,adamw,none,0.25742574257425743,0.8323699421965318,0.7425742574257426
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr1e-6-ep3-optsgd-masknone,sft,100.0,0,0.000001,3,sgd,none,0.31683168316831684,0.6705202312138728,0.6831683168316831
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr1e-6-ep3-optadamw-masknone,sft,100.0,0,0.000001,3,adamw,none,0.3910891089108911,0.9898843930635838,0.6089108910891089
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr1e-6-ep2-optsgd-masknone,sft,100.0,0,0.000001,2,sgd,none,0.32425742574257427,0.634393063583815,0.6757425742574257
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr1e-6-ep2-optadamw-masknone,sft,100.0,0,0.000001,2,adamw,none,0.30445544554455445,0.9552023121387284,0.6955445544554455
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr1e-6-ep1-optsgd-masknone,sft,100.0,0,0.000001,1,sgd,none,0.32673267326732675,0.569364161849711,0.6732673267326732
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr1e-6-ep1-optadamw-masknone,sft,100.0,0,0.000001,1,adamw,none,0.2722772277227723,0.773121387283237,0.7277227722772277
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr5e-7-ep3-optsgd-masknone,sft,100.0,0,5e-7,3,sgd,none,0.3292079207920792,0.638728323699422,0.6707920792079207
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr5e-7-ep3-optadamw-masknone,sft,100.0,0,5e-7,3,adamw,none,0.3292079207920792,0.9653179190751444,0.6707920792079207
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr5e-7-ep2-optsgd-masknone,sft,100.0,0,5e-7,2,sgd,none,0.3415841584158416,0.6040462427745664,0.6584158415841583
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr5e-7-ep2-optadamw-masknone,sft,100.0,0,5e-7,2,adamw,none,0.297029702970297,0.8179190751445087,0.7029702970297029
