name,method,correct_ratio,correct_seed,lr,epochs,optimizer,mask_stage,correct_accuracy,wrong_accuracy,forgetting_rate
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr1e-4-ep2-optadamw-maskgradient,cnl,20.0,0,0.0001,2,adamw,gradient,0.1728395061728395,0.3236994219653179,0.8271604938271605
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr1e-4-ep2-optadamw-maskupdate,cnl,10.0,0,0.0001,2,adamw,update,0.05,0.33670520231213874,0.95
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr1e-4-ep2-optadamw-maskgradient,cnl,10.0,0,0.0001,2,adamw,gradient,0.125,0.3236994219653179,0.875
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr1e-4-ep1-optsgd-masknone,sft,100.0,0,0.0001,1,sgd,none,0.15346534653465346,0.4017341040462428,0.8465346534653465
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr1e-4-ep1-optsgd-maskupdate,cnl,100.0,0,0.0001,1,sgd,update,0.13366336633663367,0.3265895953757225,0.8663366336633663
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr1e-4-ep1-optsgd-maskgradient,cnl,100.0,0,0.0001,1,sgd,gradient,0.13366336633663367,0.3265895953757225,0.8663366336633663
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr1e-4-ep1-optsgd-maskupdate,cnl,80.0,0,0.0001,1,sgd,update,0.12693498452012383,0.34104046242774566,0.8730650154798761
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr1e-4-ep1-optsgd-maskgradient,cnl,80.0,0,0.0001,1,sgd,gradient,0.12693498452012383,0.34104046242774566,0.8730650154798761
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr1e-4-ep1-optsgd-maskupdate,cnl,60.0,0,0.0001,1,sgd,update,0.15702479338842976,0.32803468208092484,0.8429752066115702
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr1e-4-ep1-optsgd-maskgradient,cnl,60.0,0,0.0001,1,sgd,gradient,0.15702479338842976,0.32803468208092484,0.8429752066115702
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr1e-4-ep1-optsgd-maskupdate,cnl,40.0,0,0.0001,1,sgd,update,0.1111111111111111,0.33815028901734107,0.8888888888888888
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr1e-4-ep1-optsgd-maskgradient,cnl,40.0,0,0.0001,1,sgd,gradient,0.1111111111111111,0.33815028901734107,0.8888888888888888
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr1e-4-ep1-optsgd-maskupdate,cnl,20.0,0,0.0001,1,sgd,update,0.1728395061728395,0.3236994219653179,0.8271604938271605
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr1e-4-ep1-optsgd-maskgradient,cnl,20.0,0,0.0001,1,sgd,gradient,0.1728395061728395,0.3236994219653179,0.8271604938271605
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr1e-4-ep1-optsgd-maskupdate,cnl,10.0,0,0.0001,1,sgd,update,0.125,0.3236994219653179,0.875
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr1e-4-ep1-optsgd-maskgradient,cnl,10.0,0,0.0001,1,sgd,gradient,0.125,0.3236994219653179,0.875
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr1e-4-ep1-optadamw-masknone,sft,100.0,0,0.0001,1,adamw,none,0.0594059405940594,0.33670520231213874,0.9405940594059405
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr1e-4-ep1-optadamw-maskupdate,cnl,100.0,0,0.0001,1,adamw,update,0.0594059405940594,0.33670520231213874,0.9405940594059405
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr1e-4-ep1-optadamw-maskgradient,cnl,100.0,0,0.0001,1,adamw,gradient,0.15346534653465346,0.3265895953757225,0.8465346534653465
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr1e-4-ep1-optadamw-maskupdate,cnl,80.0,0,0.0001,1,adamw,update,0.06501547987616099,0.33670520231213874,0.934984520123839
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr1e-4-ep1-optadamw-maskgradient,cnl,80.0,0,0.0001,1,adamw,gradient,0.1609907120743034,0.3265895953757225,0.8390092879256966
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr1e-4-ep1-optadamw-maskupdate,cnl,60.0,0,0.0001,1,adamw,update,0.05371900826446281,0.33670520231213874,0.9462809917355371
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr1e-4-ep1-optadamw-maskgradient,cnl,60.0,0,0.0001,1,adamw,gradient,0.15702479338842976,0.3265895953757225,0.8429752066115702
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr1e-4-ep1-optadamw-maskupdate,cnl,40.0,0,0.0001,1,adamw,update,0.06790123456790123,0.33670520231213874,0.9320987654320988
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr1e-4-ep1-optadamw-maskgradient,cnl,40.0,0,0.0001,1,adamw,gradient,0.15432098765432098,0.3265895953757225,0.845679012345679
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr1e-4-ep1-optadamw-maskupdate,cnl,20.0,0,0.0001,1,adamw,update,0.04938271604938271,0.33670520231213874,0.9506172839506173
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr1e-4-ep1-optadamw-maskgradient,cnl,20.0,0,0.0001,1,adamw,gradient,0.1728395061728395,0.3236994219653179,0.8271604938271605
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr1e-4-ep1-optadamw-maskupdate,cnl,10.0,0,0.0001,1,adamw,update,0.05,0.33670520231213874,0.95
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr1e-4-ep1-optadamw-maskgradient,cnl,10.0,0,0.0001,1,adamw,gradient,0.125,0.3222543352601156,0.875
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr5e-5-ep3-optsgd-masknone,sft,100.0,0,0.00005,3,sgd,none,0.28217821782178215,0.9017341040462428,0.7178217821782178
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr5e-5-ep3-optsgd-maskupdate,cnl,100.0,0,0.00005,3,sgd,update,0.12623762376237624,0.3236994219653179,0.8737623762376238
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr5e-5-ep3-optsgd-maskgradient,cnl,100.0,0,0.00005,3,sgd,gradient,0.13366336633663367,0.32803468208092484,0.8663366336633663
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr5e-5-ep3-optsgd-maskupdate,cnl,80.0,0,0.00005,3,sgd,update,0.1609907120743034,0.3265895953757225,0.8390092879256966
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr5e-5-ep3-optsgd-maskgradient,cnl,80.0,0,0.00005,3,sgd,gradient,0.1609907120743034,0.3265895953757225,0.8390092879256966
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr5e-5-ep3-optsgd-maskupdate,cnl,60.0,0,0.00005,3,sgd,update,0.16115702479338842,0.3236994219653179,0.8388429752066116
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr5e-5-ep3-optsgd-maskgradient,cnl,60.0,0,0.00005,3,sgd,gradient,0.16115702479338842,0.3309248554913295,0.8388429752066116
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr5e-5-ep3-optsgd-maskupdate,cnl,40.0,0,0.00005,3,sgd,update,0.14814814814814814,0.3179190751445087,0.8518518518518519
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr5e-5-ep3-optsgd-maskgradient,cnl,40.0,0,0.00005,3,sgd,gradient,0.14814814814814814,0.3236994219653179,0.8518518518518519
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr5e-5-ep3-optsgd-maskupdate,cnl,20.0,0,0.00005,3,sgd,update,0.1728395061728395,0.3236994219653179,0.8271604938271605
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr5e-5-ep3-optsgd-maskgradient,cnl,20.0,0,0.00005,3,sgd,gradient,0.1728395061728395,0.3236994219653179,0.8271604938271605
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr5e-5-ep3-optsgd-maskupdate,cnl,10.0,0,0.00005,3,sgd,update,0.2,0.3106936416184971,0.8
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr5e-5-ep3-optsgd-maskgradient,cnl,10.0,0,0.00005,3,sgd,gradient,0.2,0.31213872832369943,0.8
