name,metrics/n_params_compared,metrics/agreement,metrics/jaccard,metrics/real_density,metrics/synth_density,metrics/real_only_density,metrics/synth_only_density,metrics/both_off_density,metrics/weighted_agreement,metrics/weighted_jaccard,metrics/weighted_real_density,metrics/weighted_synth_density,layer_num
lm_head,107663065088.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
model.embed_tokens,107663065088.0,0.7110057146471865,0.5482050533282383,0.4970037686579299,0.4933174682941458,0.14634029285829875,0.14265399249451466,0.36034223884755534,0.6804322896454748,0.5272126612457695,0.5266756718272575,0.505601743883038,
model.layers.0,10885813248.0,0.5318379815181632,0.41805599569344676,0.6607868549758167,0.48001009928771465,0.3244693870849694,0.1436926313968674,0.1955205136273159,0.5220103422253839,0.4331092644164507,0.7364334662366738,0.4719323841063635,0.0
model.layers.1,10885813248.0,0.5593495535226731,0.4516157238291837,0.6683393563945881,0.4980964529219893,0.30544667497496275,0.13520377150236407,0.1964568721030478,0.5523410354338629,0.46955422736977914,0.743161392430831,0.49703903165311614,1.0
model.layers.10,10885813248.0,0.5123349241752488,0.4222876615619088,0.6983281823612633,0.5022689987819273,0.34186212970204355,0.1458029461227075,0.1558688715160291,0.5131784058649304,0.4487487731829193,0.7749134569438547,0.5045069034202089,10.0
model.layers.11,10885813248.0,0.4993908820729385,0.41526107851494465,0.7125876212716744,0.4990513666030512,0.3570726862978423,0.14353643162921909,0.1438759470991064,0.5004388524518503,0.44181518758368576,0.7895989523900052,0.5007886648567762,11.0
model.layers.12,10885813248.0,0.4802372953587527,0.3971673896759521,0.7140750519882518,0.49056326159013675,0.3716372475196811,0.14812545712156605,0.13779949089018212,0.479029629578073,0.4205076460708119,0.7890782769517642,0.4879743858382737,12.0
model.layers.13,10885813248.0,0.47206763306766586,0.3912146811027182,0.7280885367435618,0.47835797292928167,0.3888314653733071,0.13910090155902693,0.13281056169741115,0.467158190162301,0.40875439007164327,0.7975454667061477,0.47205048020360274,13.0
model.layers.14,10885813248.0,0.4800626396893337,0.39668361765215077,0.7194968655593089,0.48416321720091293,0.3776355043345311,0.1423018559761351,0.1382012784645559,0.47718729494195133,0.41438901148842533,0.7832233225519384,0.4794929647177426,14.0
model.layers.15,10885813248.0,0.46629916170320096,0.38267174472567134,0.7145936746093993,0.48077197952679773,0.38376126668970023,0.1499395716070987,0.13546675378350195,0.4638149088977638,0.3994255343616878,0.7745703193850328,0.47481864568918686,15.0
